,Unnamed: 0,Unnamed: 0.1,contest_id,problem_name,rating,tags,difficulty,solution_link,problem_link
0,0.0,0.0,1003,CF1003A - Polycarp's Pockets,800,Brute Force,1,Round-494-Div3/A.cpp,https://codeforces.com/contest/1003/problem/A
1,1.0,1.0,1003,CF1003B - Binary String Constructing,1300,Greedy,2,Round-494-Div3/B.cpp,https://codeforces.com/contest/1003/problem/B
2,2.0,2.0,1003,CF1003C - Intense Heat,1300,Brute Force,2,Round-494-Div3/C.cpp,https://codeforces.com/contest/1003/problem/C
3,3.0,3.0,1003,CF1003D - Coins and Queries,1600,"Greedy, Binary Search",3,Round-494-Div3/D.cpp,https://codeforces.com/contest/1003/problem/D
4,4.0,4.0,1003,CF1003E - Tree Constructing,2100,Constructive Algorithms,4,Round-494-Div3/E.cpp,https://codeforces.com/contest/1003/problem/E
5,5.0,5.0,1003,CF1003F - Abbreviation,2200,"Hashing, Z function, Brute Force",5,Round-494-Div3/F.cpp,https://codeforces.com/contest/1003/problem/F
6,6.0,6.0,1102,CF1102A - Integer Sequence Dividing,800,Ad-Hoc,1,Round-531-Div3/A.cpp,https://codeforces.com/contest/1102/problem/A
7,7.0,7.0,1102,CF1102B - Array K-Coloring,1400,Greedy,2,Round-531-Div3/B.cpp,https://codeforces.com/contest/1102/problem/B
8,8.0,8.0,1102,CF1102C - Doors Breaking and Repairing,1200,Game Theory,3,Round-531-Div3/C.cpp,https://codeforces.com/contest/1102/problem/C
9,9.0,9.0,1102,CF1102D - Balanced Ternary String,1500,Greedy,3,Round-531-Div3/D.cpp,https://codeforces.com/contest/1102/problem/D
10,10.0,10.0,1102,CF1102E - Monotonic Renumeration,1700,BIT,4,Round-531-Div3/E.cpp,https://codeforces.com/contest/1102/problem/E
11,11.0,11.0,1102,CF1102F - Elongated Matrix,2000,"DP, Bitmask",4,Round-531-Div3/F.cpp,https://codeforces.com/contest/1102/problem/F
12,12.0,12.0,402,CF402A - Nuts,1100,Brute Force,2,Round-236-Div2/A.cpp,https://codeforces.com/contest/402/problem/A
13,13.0,13.0,402,CF402B - Trees in a Row,1400,Brute Force,2,Round-236-Div2/B.cpp,https://codeforces.com/contest/402/problem/B
14,14.0,14.0,402,CF402C - Searching for Graph,1500,Greedy,3,Round-236-Div2/C.cpp,https://codeforces.com/contest/402/problem/C
15,15.0,15.0,402,CF402D - Upgrading Array,1800,Greedy,4,Round-236-Div2/D.cpp,https://codeforces.com/contest/402/problem/D
